14C	Carbon 14 Age Determination
AA	Activation Analysis
AAS	Atomic Absorption
AGE:ASSIG	Assigned Sample Age
AGE:GEO	Geological Sample Age
ALPHA	Alpha Counting
ALPHA-ID	Alpha Counting Isotope Dilution
AMS	Accelerator Mass Spectrometry
ANC	Anion Chromatography
AR_AR	Ar40_Ar39 Age Determination
ARC	Arc Spectrometry
AUT	Auto Analyzer
AUTLCH	Automated Leaching
BOMB	Carbonate Bomb
CALC	Calculated
CCP	Calcium Carbonate Preservation
CHN	Carbon Hydrogen Nitrogen Analysis
CHN-G	Carbon Hydrogen Nitrogen Gas Chromatography
CHS	Carbon Hydrogen Sulfur Elemental Analyzer
CMBN	Combustion
CNS	Carbon Nitrogen Sulfur Analyzer
COL	Colorimetric Analysis
COUL	Coulometrical Analysis
CSA	Carbon Sulfur Analysis
DCP	Direct Current Plasma (Further Detail Not Provided)
DCP-AES	Direct Current Plasma Atomic Emission Spectrometry
DROES	Direct Reading Optical Emissions Spectroscopy
EA	Elemental Analysis
EA-CF-IRMS	Elemental Analyzer-Continuous Flow Isotope Ratio Mass Spectrometry
EMP	Electron Microprobe
ENAA	Epithermal Neutron Activation Analysis
ES	Emission Spectrometry
FIS	Fission Track
FL-ES	Flame Emission Spectroscopy
FP	Film Polarography
FPHOT	Flame Photometry
FTIR	Fourier Transform Infrared Spectrometry
GAMMA	Gamma Counting
GC	Gas Chromatography
GC-MS	Gas Chromatography- Mass Spectrometry
GF-AAS	Graphite Furnace Atomic Absorption Spectrometry
GIO	Gradient Ion-Chromatography
GL-EL	Glass Electrode
GRAV	Gravimetry
GS	Gasometric Technique
HPLC	High-Performance Liquid Chromatography
HR-ICP-MS	High-Resolution Inductively Coupled Plasma Mass Spectrometry
IA	Image Analysis
ICP	Inductively Coupled Plasma (Further Detail Not Provided)
ICP:AES	Inductively Coupled Plasma Atomic Emission Spectroscopy
ICP:ES	Inductively Coupled Plasma Source Emission Spectrometry
ICP:LA	Inductively Coupled Plasma Laser Ablation (Further Detail Not Provided)
ICP:LAM	Inductively Coupled Plasma Mass Spectrometry Laser Ablation Microprobe
ICP:MS	Inductively Coupled Plasma Mass Spectrometry
ICP:MS-HR	Inductively Coupled Plasma Mass Spectrometry High-Resolution
ICP:MS-ID	Inductively Coupled Plasma Mass Spectrometry Isotope Dilution
ICP:MS-LA	Inductively Coupled Plasma Mass Spectrometry Laser Ablation
ICP:MS-LA-MC	Inductively Coupled Plasma Mass Spectrometry Laser Ablation Multicollector
ICP:MS-MC	Inductively Coupled Plasma Mass Spectrometry Multi-Collector
ICP-OES	Optical Emission Spectrospcopy
ICS	Iridium Coincidence Spectrometry
IGN	Ignition
IMP	Ion Microprobe
INAA	Instrumental Neutron Activation Analysis
INC	Ion Chromatography
IR-SP	Infra-Red Spectroscopy
ISE	Ion Sensitive Electrode
IVA	Inversion Volt-Ampermetry
K-AR	K-Ar Age Determination
LAICP	Inductively Coupled Plasma Laser Ablation (Further Detail Not Provided)
LA-ICPMS	Laser Ablation Inductively Coupled Plasma Mass Spectrometry
LF	Laser Fluorination
LU-HF	Lutetium-Hafnium Age Determination
MANO	Manometry
MBS	Molybdate-Blue Spectrometry
MC-ICP-MS	Laser Ablation Multicollector Inductively Coupled Plasma Mass Spectrometry
MOSS	Mossbauer Spectra
MS	Mass Spectrometry
MS:ID	Isotope Dilution Mass Spectrometry
MS:SIMS	Secondary Ionization Mass Spectrometry
MS:SS-ID	Spark Source Mass Spectrometry - Isotope Dilution
MS:SSMS	Spark Source Mass Spectrometry
