id,name,description,stone_id,operator,created_at,updated_at,technique_id,device_id
59,Major and trace element abundance of TD-1827,,1302,,2009-03-12 16:22:26.276187,2009-03-12 16:22:26.276187,,
60,Major and trace element abundance of TD-1828,,1301,,2009-03-12 16:23:25.841322,2009-03-12 16:23:25.841322,,
61,Major and trace element abundance of TD-1829,,1313,,2009-03-12 16:24:23.580768,2009-03-12 16:24:23.580768,,
62,Major and trace element abundance of TD-1831A,,1303,,2009-03-12 16:25:17.515481,2009-03-12 16:25:17.515481,,
63,Major and trace element abundance of TD-1831B,,1304,,2009-03-12 16:26:11.065142,2009-03-12 16:26:11.065142,,
64,Major and trace element abundance of TD-1822,,1305,,2009-03-12 16:27:06.719262,2009-03-12 16:27:06.719262,,
65,Major and trace element abundance of TD-1834,,1308,,2009-03-12 16:27:58.852847,2009-03-12 16:27:58.852847,,
66,Major and trace element abundance of TD-1824,,1306,,2009-03-12 16:28:51.121723,2009-03-12 16:28:51.121723,,
67,Major and trace element abundance of TD-1830,,1307,,2009-03-12 16:29:42.9115,2009-03-12 16:29:42.9115,,
68,Major and trace element abundance of TD-1815,,1309,,2009-03-12 16:30:38.278167,2009-03-12 16:30:38.278167,,
69,Major and trace element abundance of TD-1816A,,1319,,2009-03-12 16:31:31.907315,2009-03-12 16:31:31.907315,,
70,Major and trace element abundance of TD-1816B,,1320,,2009-03-12 16:32:24.67415,2009-03-12 16:32:24.67415,,
71,Major and trace element abundance of TD-1817,,1318,,2009-03-12 16:33:16.59622,2009-03-12 16:33:16.59622,,
72,Major and trace element abundance of TD-1825,,1314,,2009-03-12 16:34:08.461064,2009-03-12 16:34:08.461064,,
73,Major and trace element abundance of TD-1826A,,1310,,2009-03-12 16:35:00.407963,2009-03-12 16:35:00.407963,,
74,Major and trace element abundance of TD-1826B,,1311,,2009-03-12 16:35:56.895737,2009-03-12 16:35:56.895737,,
75,Major and trace element abundance of TD-1833,,1312,,2009-03-12 16:36:49.771262,2009-03-12 16:36:49.771262,,
76,Major and trace element abundance of TD-1811A,,1315,,2009-03-12 16:37:41.520699,2009-03-12 16:37:41.520699,,
77,Major and trace element abundance of TD-1811B,,1316,,2009-03-12 16:38:33.288571,2009-03-12 16:38:33.288571,,
78,Major and trace element abundance of TD-1811C,,1317,,2009-03-12 16:39:25.417952,2009-03-12 16:39:25.417952,,
79,Major and trace element abundance of TD-1820A,,1354,,2009-03-12 16:40:20.122863,2009-03-12 16:40:20.122863,,
80,Major and trace element abundance of TD-1820B,,1335,,2009-03-12 16:41:14.693052,2009-03-12 16:41:14.693052,,
81,Major and trace element abundance of TD-1820C,,1336,,2009-03-12 16:42:07.701994,2009-03-12 16:42:07.701994,,
82,Major and trace element abundance of TD-1812A,,1337,,2009-03-12 16:42:59.864737,2009-03-12 16:42:59.864737,,
83,Major and trace element abundance of TD-1812B,,1338,,2009-03-12 16:43:52.122474,2009-03-12 16:43:52.122474,,
84,Major and trace element abundance of TD-1813,,1339,,2009-03-12 16:44:44.3659,2009-03-12 16:44:44.3659,,
85,Major and trace element abundance of TD-1814,,1340,,2009-03-12 16:45:40.114287,2009-03-12 16:45:40.114287,,
86,Major and trace element abundance of ALW-103,,1341,,2009-03-12 16:46:34.61665,2009-03-12 16:46:34.61665,,
87,Major and trace element abundance of ALW-139,,1342,,2009-03-12 16:47:28.593158,2009-03-12 16:47:28.593158,,
88,Major and trace element abundance of ALW-193,,1343,,2009-03-12 16:48:22.048532,2009-03-12 16:48:22.048532,,
89,Major and trace element abundance of TD-1836,,1344,,2009-03-12 16:49:15.256733,2009-03-12 16:49:15.256733,,
90,Major and trace element abundance of TD-1837A,,1345,,2009-03-12 16:50:09.776146,2009-03-12 16:50:09.776146,,
91,Major and trace element abundance of TD-1838,,1346,,2009-03-12 16:51:06.176219,2009-03-12 16:51:06.176219,,
92,Major and trace element abundance of TD-1839,,1347,,2009-03-12 16:52:00.725176,2009-03-12 16:52:00.725176,,
93,Major and trace element abundance of TD-1841,,1348,,2009-03-12 16:52:53.663919,2009-03-12 16:52:53.663919,,
94,Major and trace element abundance of TD-1842,,1349,,2009-03-12 16:53:45.932177,2009-03-12 16:53:45.932177,,
95,Major and trace element abundance of TD-540A,,1350,,2009-03-12 16:54:38.445612,2009-03-12 16:54:38.445612,,
96,Major and trace element abundance of TD-565B,,1351,,2009-03-12 16:55:34.675965,2009-03-12 16:55:34.675965,,
97,Major and trace element abundance of TD-577,,1352,,2009-03-12 16:56:29.32923,2009-03-12 16:56:29.32923,,
98,Major and trace element abundance of TD-1800A,,1353,,2009-03-12 16:57:22.487375,2009-03-12 16:57:22.487375,,
99,Major and trace element abundance of TD-1801A,,1380,,2009-03-12 16:58:15.083674,2009-03-12 16:58:15.083674,,
100,Major and trace element abundance of TD-1801B,,1381,,2009-03-12 16:59:06.634615,2009-03-12 16:59:06.634615,,
101,Major and trace element abundance of TD-1803B,,1382,,2009-03-12 16:59:58.424379,2009-03-12 16:59:58.424379,,
102,Major and trace element abundance of TD-1803C,,1383,,2009-03-12 17:00:54.510011,2009-03-12 17:00:54.510011,,
103,Major and trace element abundance of TD-1804,,1384,,2009-03-12 17:01:46.930294,2009-03-12 17:01:46.930294,,
104,Major and trace element abundance of TD-1805,,1385,,2009-03-12 17:02:34.411387,2009-03-12 17:02:34.411387,,
105,Major and trace element abundance of TD-1806A,,1386,,2009-03-12 17:03:26.931631,2009-03-12 17:03:26.931631,,
106,Major and trace element abundance of TD-1807A,,1387,,2009-03-12 17:04:19.643723,2009-03-12 17:04:19.643723,,
107,Major and trace element abundance of TD-1807B,,1388,,2009-03-12 17:05:14.35283,2009-03-12 17:05:14.35283,,
108,Major and trace element abundance of TD-1808,,1389,,2009-03-12 17:06:10.354626,2009-03-12 17:06:10.354626,,
109,Major and trace element abundance of ALW-116,,1390,,2009-03-12 17:07:05.044516,2009-03-12 17:07:05.044516,,
216,Elemental and isotopic abundance of 0901-4a,,2900,,2009-08-03 10:12:07.753542,2009-08-03 10:12:07.753542,,
217,Elemental and isotopic abundance of 0901-4b,,2901,,2009-08-03 10:13:23.464554,2009-08-03 10:13:23.464554,,
218,Elemental and isotopic abundance of 0901-4c,,2902,,2009-08-03 10:14:44.599547,2009-08-03 10:14:44.599547,,
222,Elemental and isotopic abundance of 0902-8a,,2903,,2009-08-03 10:20:11.625589,2009-08-03 10:20:11.625589,,
215,Elemental and isotopic abundance of 0901-4,,2783,,2009-08-03 10:10:44.764101,2009-08-03 10:21:30.011976,,
223,Elemental and isotopic abundance of 0902-8b,,2904,,2009-08-03 10:21:31.466283,2009-08-03 10:21:31.466283,,
219,Elemental and isotopic abundance of 0902-2,,2694,,2009-08-03 10:16:06.594212,2009-08-03 10:22:22.614565,,
224,Elemental and isotopic abundance of 0902-8c,,2905,,2009-08-03 10:22:53.118098,2009-08-03 10:22:53.118098,,
226,Elemental and isotopic abundance of 0904-1a,,2907,,2009-08-03 10:25:35.726647,2009-08-03 10:25:35.726647,,
227,Elemental and isotopic abundance of 0904-1b,,2908,,2009-08-03 10:26:56.721344,2009-08-03 10:26:56.721344,,
