id,analysis_id,measurement_item_id,info,value,label,description,uncertainty,created_at,updated_at,unit_id
21955,2154,163,,22.4,,,,2012-09-26 17:00:50.210965,2013-02-07 09:56:42.698639,8
21956,2154,209,,6.19,,,,2012-09-26 17:00:50.846644,2013-02-07 09:56:42.70681,8
21957,2154,224,,2.23,,,,2012-09-26 17:00:51.319863,2013-02-07 09:56:42.71519,8
4259,200,37,abundance of {CaO},11.35,\abundance{CaO},"",,2009-04-24 09:07:57.678325,2013-02-07 09:33:31.372849,6
4261,200,121,abundance of {MgO},6.79,\abundance{MgO},"",,2009-04-24 09:08:02.496347,2013-02-07 09:33:31.401031,6
4249,199,74,abundance of {FeO},8.31,\abundance{FeO},"",,2009-04-24 09:07:32.387349,2013-02-07 09:33:31.410545,6
4252,199,221,abundance of {TiO_{2}},2.19,\abundance{TiO_{2}},"",,2009-04-24 09:07:38.928963,2013-02-07 09:33:31.418797,6
4258,200,100,abundance of {K_{2}O},0.29,\abundance{K_{2}O},"",,2009-04-24 09:07:55.268258,2013-02-07 09:33:31.426992,6
4491,204,198,abundance of {SiO_{2}},48.27,\abundance{SiO_{2}},"",,2009-04-24 09:14:06.966736,2013-02-07 09:33:31.435251,6
4482,204,133,abundance of {Na_{2}O},3.02,\abundance{Na_{2}O},"",,2009-04-24 09:13:50.227548,2013-02-07 09:33:31.452128,6
4486,204,83,abundance of {H_{2}O^{+}},1.66,\abundance{H_{2}O^{+}},"",,2009-04-24 09:13:57.851318,2013-02-07 09:33:31.460386,6
206,59,198,element abundance of Si,51.13,\abundance{SiO_{2}},,,2009-03-12 16:23:08.550391,2013-02-07 09:33:31.468747,6
247,60,198,element abundance of Si,48.45,\abundance{SiO_{2}},,,2009-03-12 16:24:06.490819,2013-02-07 09:33:31.47714,6
288,61,198,element abundance of Si,48.65,\abundance{SiO_{2}},,,2009-03-12 16:25:05.71524,2013-02-07 09:33:31.485565,6
329,62,198,element abundance of Si,47.03,\abundance{SiO_{2}},,,2009-03-12 16:25:59.871527,2013-02-07 09:33:31.493961,6
370,63,198,element abundance of Si,46.93,\abundance{SiO_{2}},,,2009-03-12 16:26:52.804313,2013-02-07 09:33:31.502209,6
411,64,198,element abundance of Si,51.68,\abundance{SiO_{2}},,,2009-03-12 16:27:47.784764,2013-02-07 09:33:31.510575,6
452,65,198,element abundance of Si,50.4,\abundance{SiO_{2}},,,2009-03-12 16:28:40.121323,2013-02-07 09:33:31.518974,6
493,66,198,element abundance of Si,47.22,\abundance{SiO_{2}},,,2009-03-12 16:29:31.992153,2013-02-07 09:33:31.527252,6
534,67,198,element abundance of Si,47.08,\abundance{SiO_{2}},,,2009-03-12 16:30:26.752173,2013-02-07 09:33:31.535655,6
575,68,198,element abundance of Si,49.89,\abundance{SiO_{2}},,,2009-03-12 16:31:20.759059,2013-02-07 09:33:31.543954,6
616,69,198,element abundance of Si,45.63,\abundance{SiO_{2}},,,2009-03-12 16:32:13.640529,2013-02-07 09:33:31.55222,6
657,70,198,element abundance of Si,45.55,\abundance{SiO_{2}},,,2009-03-12 16:33:05.547331,2013-02-07 09:33:31.560717,6
698,71,198,element abundance of Si,45.15,\abundance{SiO_{2}},,,2009-03-12 16:33:57.422184,2013-02-07 09:33:31.569082,6
739,72,198,element abundance of Si,45.22,\abundance{SiO_{2}},,,2009-03-12 16:34:49.47588,2013-02-07 09:33:31.577456,6
780,73,198,element abundance of Si,47.42,\abundance{SiO_{2}},,,2009-03-12 16:35:45.4712,2013-02-07 09:33:31.585682,6
821,74,198,element abundance of Si,47.35,\abundance{SiO_{2}},,,2009-03-12 16:36:38.822208,2013-02-07 09:33:31.593894,6
862,75,198,element abundance of Si,46.4,\abundance{SiO_{2}},,,2009-03-12 16:37:30.755367,2013-02-07 09:33:31.602158,6
