id,name,created_at,updated_at
1,EPMA,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
2,"microbalance, muffle furnace",2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
3,Cameca ims-1270,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
4,JXA-8800,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
5,Cameca ims 1270,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
6,XRF,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
7,Thermo MAT253,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
8,Yokogawa PMS2000 Inductively Coupled Plasma Mass Spectrometer,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
9,Finnigan MAT261/262,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
10,Muffle furnace,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
11,Yokogawa PMS2000/Ailent 7500cs,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
12,ICPMS,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
13,PANalytical PW2400,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
14,Finnigan MAT261,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
15,MAT 253,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
16,Thermo MAT261,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
17,Agilent 7500cs,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
18,SEM-EDS,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
19,ICP_MS,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
20,Neptune,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
21,Cameca ims-5f,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
22,FTIR,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
23,"MC-ICPMS, Finnigan NEPTUNE",2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
24,VG5400,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
25,Cameca ims 5f,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
26,JEOL 8800,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
27,JEOL JXA-8800R,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
28,ttt,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
29,MAT-253 at PML,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
30,SIRA1２,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
31,Philips PW2400,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
32,Phillips PW2400 X-ray Fluorescense spectrometer,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
33,PW2400,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
34,MAT253,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
35,Schott Titronic 96,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
36,JEOL JSM-7001F,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
37,Thermo electron NEPTUNE,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
38,SIRA12,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
39,Themo Triton,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
40,JEPL JXA-8800,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
41,Finnigan MAT262 mass spectrometer,2014-03-25 11:17:35.364041,2014-03-25 11:17:35.364041
