id,group_id,user_id
1,1,1
2,7,2
3,7,3
4,7,4
5,7,5
6,7,6
7,7,1
8,8,3
9,8,6
10,8,5
11,8,4
12,9,2
13,8,13
14,8,16
15,8,17
16,8,18
17,7,13
18,7,16
19,7,17
20,7,18
21,7,19
22,8,19
23,7,23
24,8,23
25,3227,6
26,3228,3
27,3228,6
28,3228,5
29,1,1
30,3229,6
31,3229,3
32,3229,16
33,3229,13
34,3230,6
35,3230,3
36,3230,18
37,7,20
38,3231,6
39,7,24
40,8,24
41,3227,24
42,3228,24
43,7,25
44,8,25
45,3230,25
46,8,1
47,9,1
48,3227,1
49,3228,1
50,3229,1
51,3230,1
52,3231,1
53,7,26
54,8,26
55,3228,26
56,7,27
57,8,27
58,3227,27
59,3233,2
60,3233,3
61,3233,6
62,3233,4
63,3233,13
64,3233,16
65,3233,26
66,3233,24
67,3233,23
68,3228,4
69,3228,13
70,3228,16
71,3228,23
72,3234,2
73,3234,3
74,7,8
75,8,8
76,3228,8
77,3233,8
78,3235,6
79,3227,3
80,3231,3
81,3235,3
82,3235,17
83,8,20
84,3236,6
85,3236,3
86,3231,26
87,3231,29
88,8,29
89,3237,6
90,3237,26
91,3237,3
92,3238,3
93,3238,13
94,3235,13
95,3239,20
96,3239,3
97,3238,23
98,3240,2
99,3241,2
100,3242,2
101,3243,3
102,3243,13
103,7,30
104,8,30
105,3228,30
106,3233,30
107,3234,30
108,3244,3
109,3244,16
110,7,31
111,8,31
112,3228,31
113,3233,31
114,3234,31
115,7,32
116,8,32
117,3228,32
118,3233,32
119,3244,32
120,7,33
121,8,33
122,3228,33
123,3233,33
124,3244,33
125,3239,6
126,3239,23
127,8,34
128,3230,35
129,3245,26
