id,name,created_at,updated_at
1,admin,2008-11-19 17:12:33.652212,2008-11-19 17:12:33.652212
7,isei,2008-11-19 17:12:33.862804,2008-11-19 17:12:33.862804
8,pml,2008-11-19 17:12:33.937329,2008-11-19 17:12:33.937329
9,magma,2008-11-19 17:12:33.953516,2008-11-19 17:12:33.953516
3227,Iceland,2010-11-25 19:35:08.573005,2013-01-08 09:32:28.923621
3228,meteorite,2010-11-25 20:10:57.793138,2010-11-25 20:10:57.793138
3229,intern2007,2010-12-02 10:19:11.2238,2010-12-02 10:19:11.2238
3230,Ethiopia,2010-12-07 16:58:22.586993,2013-01-08 09:32:22.195365
3231,Cameroon,2010-12-27 17:54:17.081567,2013-01-08 09:32:17.459058
3233,ref,2011-03-30 18:02:30.32722,2011-03-30 18:02:30.32722
3234,Hayabusa,2011-04-15 10:38:40.592742,2013-01-17 22:17:41.518042
3235,Tanzania,2011-05-12 09:38:11.844871,2013-01-08 09:32:38.861682
3236,VIP,2011-08-02 09:29:51.604356,2011-08-02 09:29:51.604356
3237,Dixon,2011-10-17 09:25:40.761145,2013-02-15 00:21:26.791653
3238,Gray Bebout,2011-10-21 11:47:48.088805,2011-10-21 11:47:48.088805
3239,Horoman,2011-11-25 09:30:20.335415,2011-11-25 09:30:20.335415
3240,dvp,2013-01-24 09:02:45.102451,2013-02-09 07:39:15.786164
3241,Inada,2013-01-24 19:12:45.00034,2013-01-24 19:12:45.00034
3242,South Africa,2013-01-24 19:12:55.901681,2013-01-24 19:12:55.901681
3243,Paleoproterozoic,2013-02-28 18:11:30.526536,2013-02-28 18:11:30.526536
3244,Cameca,2013-03-22 08:47:32.095472,2013-03-22 08:47:32.095472
