id,nickname,description,display_in_html,display_in_tex,unit_id
221,TiO2,"",[TiO<sub>2</sub>],\abundance{TiO_2},
198,SiO2,"",[SiO<sub>2</sub>],\abundance{SiO_2},
5,Al2O3,"",[Al<sub>2</sub>O<sub>3</sub>],\abundance{Al_2O_3},
46,Cr2O3,"",[Cr<sub>2</sub>O<sub>3</sub>],\abundance{Cr_2O_3},
121,MgO,"",[MgO],\abundance{MgO},
124,MnO,"",[MnO],\abundance{MnO},
37,CaO,"",[CaO],\abundance{CaO},
133,Na2O,"",[Na<sub>2</sub>O],\abundance{Na_2O},
100,K2O,"",[K<sub>2</sub>O],\abundance{K_2O},
147,NiO,"",[NiO],\abundance{NiO},
189,S,"",[S],\abundance{S},
270,ZnO,"",[ZnO],\abundance{ZnO},
74,FeO,"",[FeO],\abundance{FeO},
158,P2O5,"",[P<sub>2</sub>O<sub>5</sub>],\abundance{P_2O_5},
67,F,"",[F],\abundance{F},
42,Cl,"",[Cl],\abundance{Cl},
146,Ni,"",[Ni],\abundance{Ni},1
47,Cs,"",[Cs],\abundance{Cs},1
182,Rb,"",[Rb],\abundance{Rb},1
19,Ba,"",[Ba],\abundance{Ba},1
209,Th,"",[Th],\abundance{Th},1
224,U,"",[U],\abundance{U},1
134,Nb,"",[Nb],\abundance{Nb},1
206,Ta,"",[Ta],\abundance{Ta},1
21,Be,"",[Be],\abundance{Be},1
18,B,"",[B],\abundance{B},1
116,La,"",[La],\abundance{La},1
39,Ce,"",[Ce],\abundance{Ce},1
163,Pb,"",[Pb],\abundance{Pb},1
174,Pr,"",[Pr],\abundance{Pr},1
202,Sr,"",[Sr],\abundance{Sr},1
135,Nd,"",[Nd],\abundance{Nd},1
199,Sm,"",[Sm],\abundance{Sm},1
271,Zr,"",[Zr],\abundance{Zr},1
91,Hf,"",[Hf],\abundance{Hf},1
66,Eu,"",[Eu],\abundance{Eu},1
45,Cr,"",[Cr],\abundance{Cr},1
78,Gd,"",[Gd],\abundance{Gd},1
207,Tb,"",[Tb],\abundance{Tb},1
58,Dy,"",[Dy],\abundance{Dy},1
267,Y,"",[Y],\abundance{Y},1
94,Ho,"",[Ho],\abundance{Ho},1
65,Er,"",[Er],\abundance{Er},1
223,Tm,"",[Tm],\abundance{Tm},1
268,Yb,"",[Yb],\abundance{Yb},1
119,Lu,"",[Lu],\abundance{Lu},1
27,C,"",[C],\abundance{C},1
73,Fe2O3T,"",[Fe<sub>2</sub>O<sub>3</sub><sup>T</sup>],\abundance{Fe_2O_3^T},1
83,H2OP,"",[H<sub>2</sub>O<sup>+</sup>],\abundance{H_2O^+},1
80,H2,"",[H<sub>2</sub>],\abundance{H_2},1
81,H2O,"",[H<sub>2</sub>O],\abundance{H_2O},1
115,LOI,"",[LOI],\abundance{LOI},1
32,CO2,"",[CO<sub>2</sub>],\abundance{CO_2},1
72,Fe2O3,"",[Fe<sub>2</sub>O<sub>3</sub>],\abundance{Fe_2O_3},1
284,K,"",[K],\abundance{K},8
272,O18zO16,"",<sup>18</sup>O/<sup>16</sup>O,\ion[18]{O}/\ion[16]{O},1
273,O17zO16,"",<sup>17</sup>O/<sup>16</sup>O,\ion[17]{O}/\ion[16]{O},1
54,d7Li,"",δ<sup>7</sup>Li,\deltaion[7]{Li},1
50,d13C,"",δ<sup>13</sup>C,\deltaion[13]{C},1
168,Pb208zPb204,"",<sup>208</sup>Pb/<sup>204</sup>Pb,\ion[208]{Pb}/\ion[204]{Pb},1
203,Sr87zSr86,"",<sup>87</sup>Sr/<sup>86</sup>Sr,\ion[87]{Sr}/\ion[86]{Sr},1
92,Hf176zHf177,"",<sup>176</sup>Hf/<sup>177</sup>Hf,\ion[176]{Hf}/\ion[177]{Hf},1
136,Nd143zNd144,"",<sup>143</sup>Nd/<sup>144</sup>Nd,\ion[143]{Nd}/\ion[144]{Nd},1
120,Lu176zHf177,"",<sup>176</sup>Lu/<sup>177</sup>Hf,\ion[176]{Lu}/\ion[177]{Hf},1
200,Sm147zNd144,"",<sup>147</sup>Sm/<sup>144</sup>Nd,\ion[147]{Sm}/\ion[144]{Nd},1
164,Pb206zPb204,"",<sup>206</sup>Pb/<sup>204</sup>Pb,\ion[206]{Pb}/\ion[204]{Pb},1
166,Pb207zPb204,"",<sup>207</sup>Pb/<sup>204</sup>Pb,\ion[207]{Pb}/\ion[204]{Pb},1
286,total,"",total,total,8
118,Li,"",[Li],\abundance{Li},9
287,nNa,"",Na,Na,1
288,nMg,"",Mg,Mg,2
289,nAl,"",Al,Al,2
290,nSi,"",Si,Si,2
291,nP,"",P,P,2
292,nCl,"",Cl,Cl,2
293,nK,"",K,K,2
294,nCa,"",Ca,Ca,2
295,nTi,"",Ti,Ti,2
296,nCr,"",Cr,Cr,2
297,nMn,"",Mn,Mn,2
298,nFe,"",Fe,Fe,2
299,nO,"",O,O,2
300,SO3,"",[SO<sub>3</sub>] ,\abundance{SO_3} ,8
285,Ar40*,"",[<sup>40</sup>Ar<sup>*</sup>],\abundance{^{40}Ar_{rad}},1
61,eHf,"",εHf,\epsilon_{Hf},1
63,eNd,"",εNd,\epsilon_{Nd},1
301,H,"",[H],\abundance{H},9
281,d18O,"",δ(<sup>18</sup>O/<sup>16</sup>O),\deltaion{(\ion[18]{O}/\ion[16]{O})},1
282,d17O,"",δ(<sup>17</sup>O/<sup>16</sup>O),\deltaion{(\ion[17]{O}/\ion[16]{O})},1
283,D17O,"",Δ(<sup>17</sup>O/<sup>16</sup>O),\Deltaion{(\ion[17]{O}/\ion[16]{O})},1
302,d7Li,"",δ<sup>7</sup>Li,\deltaion[7]{Li},3
303,d11B,"",δ<sup>11</sup>B,\deltaion[11]{B},3
