id,name,description,latitude,longitude,elevation,created_at,updated_at
2,,,-24.555,30.777,,2008-11-20 05:15:24.75262,2009-02-24 20:06:12.534334
3,,,-24.5452,30.73898,,2008-11-20 05:15:24.780433,2009-02-24 20:06:12.573395
4,,,-24.2655,29.88825,,2008-11-20 05:15:24.81513,2009-02-24 20:06:12.593949
5,,,-24.98028,29.83778,,2008-11-20 05:15:24.905585,2009-02-24 20:06:12.609297
6,,,-24.98468,29.83498,,2008-11-20 05:15:24.93533,2009-02-24 20:06:12.62458
7,,,-24.99447,29.32337,,2008-11-20 05:15:24.971096,2009-02-24 20:06:12.640225
8,,,-24.99098,29.32348,,2008-11-20 05:15:25.00012,2009-02-24 20:06:12.655559
9,test,test,-25.04103,29.29353,,2008-11-20 05:15:25.036278,2010-10-19 11:45:33.248483
10,,,-25.03583,29.29545,,2008-11-20 05:15:25.063789,2009-02-24 20:06:12.686449
11,,,-24.98582,29.28802,,2008-11-20 05:15:25.093582,2009-02-24 20:06:12.701872
12,,,-25.01543,29.26195,,2008-11-20 05:15:25.12387,2009-02-24 20:06:12.717195
13,,,-25.05712,29.22887,,2008-11-20 05:15:25.153378,2009-02-24 20:06:12.732602
14,,,-25.06313,29.24688,,2008-11-20 05:15:25.189034,2009-02-24 20:06:12.752333
15,,,-25.01785,29.2607,,2008-11-20 05:15:25.217816,2009-02-24 20:06:12.767603
16,,,-24.8759,29.33742,,2008-11-20 05:15:25.252558,2009-02-24 20:06:12.782763
17,,,-24.87948,29.3301,,2008-11-20 05:15:25.2811,2009-02-24 20:06:12.797795
18,,,-24.8828,29.3222,,2008-11-20 05:15:25.309528,2009-02-24 20:06:12.812973
19,,,-24.93752,29.34755,,2008-11-20 05:15:25.355843,2009-02-24 20:06:12.832499
20,,,-25.2164,29.3815,,2008-11-20 05:15:25.386995,2009-02-24 20:06:12.848232
21,,,-22.52937,29.96557,,2008-11-20 05:15:25.414335,2009-02-24 20:06:12.867465
22,,,-22.51958,29.9707,,2008-11-20 05:15:25.469754,2009-02-24 20:06:12.882767
23,,,-22.52157,30.1386,,2008-11-20 05:15:25.525748,2009-02-24 20:06:12.898075
24,,,-22.58752,30.1619,,2008-11-20 05:15:25.567386,2009-02-24 20:06:12.91372
