id,datum_id,datum_type,user_id,group_id,global_id,published,published_at,owner_readable,owner_writable,group_readable,group_writable,gest_readable,gest_writable
32,31,Stone,5,3233,20071206171725.nm,f,,t,t,t,t,f,f
33,32,Stone,5,3233,20071206171706.nm,f,,t,t,t,t,f,f
34,33,Stone,5,3233,20080225112904.nm,f,,t,t,t,t,f,f
35,34,Stone,5,3233,20080225112905.nm,f,,t,t,t,t,f,f
36,35,Stone,5,3233,20080225112906.nm,f,,t,t,t,t,f,f
37,36,Stone,5,3233,20080225112902.nm,f,,t,t,t,t,f,f
38,37,Stone,5,3233,20080225112903.nm,f,,t,t,t,t,f,f
39,38,Stone,5,3233,20071214143955.nm,f,,t,t,t,t,f,f
40,39,Stone,5,3233,20071214144001.nm,f,,t,t,t,t,f,f
41,40,Stone,5,3233,20071214144007.nm,f,,t,t,t,t,f,f
42,41,Stone,5,3233,20080225134101.nm,f,,t,t,t,t,f,f
43,42,Stone,5,3233,20080225134301.nm,f,,t,t,t,t,f,f
44,43,Stone,5,3233,20080225134105.nm,f,,t,t,t,t,f,f
45,44,Stone,5,3233,20080302194005.nm,f,,t,t,t,t,f,f
53,52,Stone,2,3242,20080602112109.ad,f,,t,t,t,t,f,f
54,53,Stone,2,3242,20080602132858.ad,f,,t,t,t,t,f,f
55,54,Stone,2,3242,20080602143331.ad,f,,t,t,t,t,f,f
56,55,Stone,2,3242,20080602143833.ad,f,,t,t,t,t,f,f
57,56,Stone,2,3242,20080602144028.ad,f,,t,t,t,t,f,f
58,57,Stone,2,3242,20080602144204.ad,f,,t,t,t,t,f,f
59,58,Stone,2,3242,20080602144322.ad,f,,t,t,t,t,f,f
60,59,Stone,2,3242,20080602144528.ad,f,,t,t,t,t,f,f
61,60,Stone,2,3242,20080602144712.ad,f,,t,t,t,t,f,f
62,61,Stone,2,3242,20080602144944.ad,f,,t,t,t,t,f,f
63,62,Stone,2,3242,20080602145104.ad,f,,t,t,t,t,f,f
64,63,Stone,2,3242,20080602145306.ad,f,,t,t,t,t,f,f
65,64,Stone,2,3242,20080602150142.ad,f,,t,t,t,t,f,f
66,65,Stone,2,3242,20080602152007.ad,f,,t,t,t,t,f,f
67,66,Stone,2,3242,20080602152144.ad,f,,t,t,t,t,f,f
68,67,Stone,2,3242,20080602152331.ad,f,,t,t,t,t,f,f
69,68,Stone,2,3242,20080602152448.ad,f,,t,t,t,t,f,f
70,69,Stone,2,3242,20080602152729.ad,f,,t,t,t,t,f,f
71,70,Stone,2,3242,20080602152934.ad,f,,t,t,t,t,f,f
72,71,Stone,2,3242,20080602153122.ad,f,,t,t,t,t,f,f
73,72,Stone,2,3242,20080602153241.ad,f,,t,t,t,t,f,f
74,73,Stone,2,3242,20080602153411.ad,f,,t,t,t,t,f,f
75,74,Stone,2,3242,20080602153608.ad,f,,t,t,t,t,f,f
76,75,Stone,2,3242,20080603134921.ad,f,,t,t,t,t,f,f
77,76,Stone,2,3242,20080603135030.ad,f,,t,t,t,t,f,f
78,77,Stone,2,3242,20080603135135.ad,f,,t,t,t,t,f,f
79,78,Stone,2,3242,20080603135237.ad,f,,t,t,t,t,f,f
80,79,Stone,2,3242,20080603135331.ad,f,,t,t,t,t,f,f
81,80,Stone,2,3242,20080603135425.ad,f,,t,t,t,t,f,f
82,81,Stone,2,3242,20080603135537.ad,f,,t,t,t,t,f,f
83,82,Stone,2,3242,20080603135634.ad,f,,t,t,t,t,f,f
84,83,Stone,2,3242,20080603135747.ad,f,,t,t,t,t,f,f
85,84,Stone,2,3242,20080603135841.ad,f,,t,t,t,t,f,f
86,85,Stone,2,3242,20080603135956.ad,f,,t,t,t,t,f,f
87,86,Stone,2,3242,20080603140049.ad,f,,t,t,t,t,f,f
88,87,Stone,2,3242,20080603141541.ad,f,,t,t,t,t,f,f
89,88,Stone,2,3242,20080603141643.ad,f,,t,t,t,t,f,f
90,89,Stone,2,3242,20080603141746.ad,f,,t,t,t,t,f,f
91,90,Stone,2,3242,20080603141839.ad,f,,t,t,t,t,f,f
92,91,Stone,2,3242,20080603142013.ad,f,,t,t,t,t,f,f
93,92,Stone,2,3242,20080603142115.ad,f,,t,t,t,t,f,f
94,93,Stone,2,3242,20080603142218.ad,f,,t,t,t,t,f,f
95,94,Stone,2,3242,20080603142305.ad,f,,t,t,t,t,f,f
96,95,Stone,2,3242,20080603142407.ad,f,,t,t,t,t,f,f
97,96,Stone,2,3242,20080603142504.ad,f,,t,t,t,t,f,f
98,97,Stone,2,3242,20080603142604.ad,f,,t,t,t,t,f,f
100,98,Stone,2,3242,20080603142717.ad,f,,t,t,t,t,f,f
101,99,Stone,2,3242,20080603142820.ad,f,,t,t,t,t,f,f
102,100,Stone,2,8,20080603142928.ad,f,,t,t,t,t,f,f
103,101,Stone,2,3242,20080603143029.ad,f,,t,t,t,t,f,f
104,102,Stone,2,3242,20080603143119.ad,f,,t,t,t,t,f,f
105,103,Stone,2,3242,20080603143232.ad,f,,t,t,t,t,f,f
106,104,Stone,2,3242,20080603144758.ad,f,,t,t,t,t,f,f
107,105,Stone,2,3242,20080603144858.ad,f,,t,t,t,t,f,f
108,106,Stone,2,3242,20080603145140.ad,f,,t,t,t,t,f,f
109,107,Stone,2,3242,20080603145313.ad,f,,t,t,t,t,f,f
110,108,Stone,2,3242,20080603145423.ad,f,,t,t,t,t,f,f
111,109,Stone,2,3242,20080603145537.ad,f,,t,t,t,t,f,f
112,110,Stone,2,3242,20080603145708.ad,f,,t,t,t,t,f,f
113,111,Stone,2,3242,20080603145828.ad,f,,t,t,t,t,f,f
114,112,Stone,2,3242,20080603145947.ad,f,,t,t,t,t,f,f
127,125,Stone,6,3227,20080616170000.hk,f,,t,t,t,t,f,f
128,126,Stone,6,3227,20080616170001.hk,t,2010-03-31 07:42:17.396763,t,t,t,t,f,f
129,127,Stone,6,3227,20080616170002.hk,t,2010-03-31 07:42:17.429963,t,t,t,t,f,f
130,128,Stone,6,3227,20080616170003.hk,t,2010-03-31 07:42:17.463268,t,t,t,t,f,f
131,129,Stone,6,3227,20080616170004.hk,t,2010-03-31 07:42:16.546701,t,t,t,t,f,f
132,130,Stone,6,3227,20080616170005.hk,t,2010-03-31 07:42:16.579941,t,t,t,t,f,f
133,131,Stone,6,3227,20080616170006.hk,t,2009-10-29 22:21:00.537555,t,t,t,t,f,f
134,132,Stone,6,3227,20080616170007.hk,t,2010-03-31 07:42:16.510765,t,t,t,t,f,f
135,133,Stone,6,3227,20080616170008.hk,t,2010-03-31 07:42:16.412554,t,t,t,t,f,f
136,134,Stone,6,3227,20080616170009.hk,t,2010-03-31 07:42:16.446677,t,t,t,t,f,f
137,135,Stone,6,3227,20080616170010.hk,t,2010-03-31 07:42:16.346627,t,t,t,t,f,f
138,136,Stone,6,3227,20080616170011.hk,t,2010-03-31 07:42:16.380007,t,t,t,t,f,f
139,137,Stone,6,3227,20080616170012.hk,t,2010-03-31 07:42:17.49647,t,t,t,t,f,f
140,138,Stone,6,3227,20080616170013.hk,t,2010-03-31 07:42:17.529551,t,t,t,t,f,f
141,139,Stone,6,3227,20080616170014.hk,t,2010-03-31 07:42:17.563182,t,t,t,t,f,f
142,140,Stone,6,3227,20080616170015.hk,t,2010-03-31 07:42:17.596688,t,t,t,t,f,f
143,141,Stone,6,3227,20080616170016.hk,t,2010-03-31 07:42:17.6387,t,t,t,t,f,f
144,142,Stone,6,3227,20080616170017.hk,t,2010-03-31 07:42:17.671661,t,t,t,t,f,f
145,143,Stone,6,3227,20080616170018.hk,t,2010-03-31 07:42:16.926963,t,t,t,t,f,f
146,144,Stone,6,3227,20080616170019.hk,t,2010-03-31 07:42:16.964105,t,t,t,t,f,f
147,145,Stone,6,3227,20080616170020.hk,t,2010-03-31 07:42:17.012572,t,t,t,t,f,f
148,146,Stone,6,3227,20080616170021.hk,t,2010-03-31 07:42:16.854807,t,t,t,t,f,f
149,147,Stone,6,3227,20080616170022.hk,t,2010-03-31 07:42:16.888193,t,t,t,t,f,f
150,148,Stone,6,3227,20080616170023.hk,t,2010-03-31 07:42:16.612384,t,t,t,t,f,f
151,149,Stone,6,3227,20080616170024.hk,t,2010-03-31 07:42:16.646558,t,t,t,t,f,f
152,150,Stone,6,3227,20080616170025.hk,t,2010-03-31 07:42:16.685356,t,t,t,t,f,f
153,151,Stone,6,3227,20080616170026.hk,t,2010-03-31 07:42:16.721347,t,t,t,t,f,f
154,152,Stone,6,3227,20080616170027.hk,t,2010-03-31 07:42:16.819805,t,t,t,t,f,f
155,153,Stone,6,3227,20080616170028.hk,t,2010-03-31 07:42:17.771698,t,t,t,t,f,f
156,154,Stone,6,3227,20080616170029.hk,t,2010-03-31 07:42:14.516665,t,t,t,t,f,f
157,155,Stone,6,3227,20080616170030.hk,t,2010-03-31 07:42:14.554008,t,t,t,t,f,f
158,156,Stone,6,3227,20080616170031.hk,f,,t,t,t,t,f,f
159,157,Stone,6,3227,20080616170032.hk,t,2010-03-31 07:42:17.804888,t,t,t,t,f,f
160,158,Stone,6,3227,20080616170033.hk,t,2010-03-31 07:42:14.587314,t,t,t,t,f,f
161,159,Stone,6,3227,20080616170034.hk,t,2010-03-31 07:42:14.620731,t,t,t,t,f,f
162,160,Stone,6,3227,20080616170035.hk,t,2010-03-31 07:42:17.838228,t,t,t,t,f,f
163,161,Stone,6,3227,20080616170036.hk,t,2010-03-31 07:42:14.653996,t,t,t,t,f,f
164,162,Stone,6,3227,20080616170037.hk,t,2010-03-31 07:42:14.693258,t,t,t,t,f,f
165,163,Stone,6,3227,20080616170038.hk,t,2010-03-31 07:42:14.729044,t,t,t,t,f,f
166,164,Stone,6,3227,20080616170039.hk,t,2010-03-31 07:42:17.937022,t,t,t,t,f,f
167,165,Stone,6,3227,20080616170040.hk,t,2010-03-31 07:42:14.762268,t,t,t,t,f,f
168,166,Stone,6,3227,20080616170041.hk,t,2010-03-31 07:42:17.97181,t,t,t,t,f,f
169,167,Stone,6,3227,20080616170042.hk,t,2010-03-31 07:42:14.795627,t,t,t,t,f,f
170,168,Stone,6,3227,20080616170043.hk,t,2010-03-31 07:42:18.00528,t,t,t,t,f,f
171,169,Stone,6,3227,20080616170044.hk,t,2010-03-31 07:42:14.130661,t,t,t,t,f,f
172,170,Stone,6,3227,20080616170045.hk,t,2010-03-31 07:42:14.079986,t,t,t,t,f,f
173,171,Stone,6,3227,20080616170046.hk,t,2010-03-31 07:42:14.386346,t,t,t,t,f,f
174,172,Stone,6,3227,20080616170047.hk,t,2010-03-31 07:42:15.071155,t,t,t,t,f,f
175,173,Stone,6,3227,20080616170048.hk,t,2010-03-31 07:42:15.032681,t,t,t,t,f,f
176,174,Stone,6,3227,20080616170049.hk,f,,t,t,t,t,f,f
177,175,Stone,6,3227,20080616170050.hk,t,2010-03-31 07:42:13.977646,t,t,t,t,f,f
178,176,Stone,6,3227,20080616170051.hk,f,,t,t,t,t,f,f
179,177,Stone,6,3227,20080616170052.hk,t,2010-03-31 07:42:14.16808,t,t,t,t,f,f
180,178,Stone,6,3227,20080616170053.hk,t,2010-03-31 07:42:14.220431,t,t,t,t,f,f
181,179,Stone,6,3227,20080616170054.hk,f,,t,t,t,t,f,f
182,180,Stone,6,3227,20080616170055.hk,t,2009-10-29 22:19:04.225694,t,t,t,t,f,f
183,181,Stone,6,3227,20080616170056.hk,f,,t,t,t,t,f,f
184,182,Stone,6,3227,20080616170057.hk,t,2010-03-31 07:42:14.954283,t,t,t,t,f,f
185,183,Stone,6,3227,20080616170058.hk,f,,t,t,t,t,f,f
186,184,Stone,6,3227,20080616170059.hk,t,2010-03-31 07:42:14.992708,t,t,t,t,f,f
187,185,Stone,6,3227,20080616170100.hk,t,2010-03-31 07:42:15.104238,t,t,t,t,f,f
188,186,Stone,6,3227,20080616170101.hk,t,2010-03-31 07:42:15.13668,t,t,t,t,f,f
189,187,Stone,6,3227,20080616170102.hk,t,2010-03-31 07:42:15.170559,t,t,t,t,f,f
190,188,Stone,6,3227,20080616170103.hk,t,2010-03-31 07:42:15.205072,t,t,t,t,f,f
191,189,Stone,6,3227,20080616170104.hk,t,2010-03-31 07:42:15.243783,t,t,t,t,f,f
192,190,Stone,6,3227,20080616170105.hk,t,2010-03-31 07:42:15.278548,t,t,t,t,f,f
193,191,Stone,6,3227,20080616170106.hk,t,2010-03-31 07:42:14.038632,t,t,t,t,f,f
194,192,Stone,6,3227,20080616170107.hk,t,2010-03-31 07:42:14.252838,t,t,t,t,f,f
195,193,Stone,6,3227,20080616170108.hk,t,2010-03-31 07:42:15.527476,t,t,t,t,f,f
196,194,Stone,6,3227,20080616170109.hk,t,2010-03-31 07:42:14.352906,t,t,t,t,f,f
197,195,Stone,6,3227,20080616170110.hk,t,2010-03-31 07:42:15.489188,t,t,t,t,f,f
198,196,Stone,6,3227,20080616170111.hk,t,2010-03-31 07:42:15.313375,t,t,t,t,f,f
199,197,Stone,6,3227,20080616170112.hk,t,2010-03-31 07:42:14.319603,t,t,t,t,f,f
200,198,Stone,6,3227,20080616170113.hk,t,2009-10-29 17:44:29.142091,t,t,t,t,f,f
201,199,Stone,6,3227,20080616170114.hk,t,2010-03-31 07:42:14.419588,t,t,t,t,f,f
202,200,Stone,6,3227,20080616170115.hk,t,2010-03-31 07:42:14.286241,t,t,t,t,f,f
203,201,Stone,6,3227,20080616170116.hk,t,2009-10-29 22:18:44.912279,t,t,t,t,f,f
204,202,Stone,6,3227,20080616170117.hk,t,2009-10-29 17:46:42.881301,t,t,t,t,f,f
205,203,Stone,6,3227,20080616170118.hk,t,2010-03-31 07:42:15.571765,t,t,t,t,f,f
206,204,Stone,6,3227,20080616170119.hk,t,2010-03-31 07:42:15.353991,t,t,t,t,f,f
207,205,Stone,6,3227,20080616170120.hk,t,2010-03-31 07:42:15.437514,t,t,t,t,f,f
208,206,Stone,6,3227,20080616170121.hk,t,2010-03-31 07:42:15.675989,t,t,t,t,f,f
209,207,Stone,6,3227,20080616170122.hk,t,2010-03-31 07:42:15.395942,t,t,t,t,f,f
210,208,Stone,6,3227,20080616170123.hk,t,2010-03-31 07:42:16.313362,t,t,t,t,f,f
211,209,Stone,6,3227,20080616170124.hk,t,2010-03-31 07:42:16.279932,t,t,t,t,f,f
212,210,Stone,6,3227,20080616170125.hk,t,2010-03-31 07:42:16.244072,t,t,t,t,f,f
213,211,Stone,6,3227,20080616170126.hk,t,2010-03-31 07:42:15.979193,t,t,t,t,f,f
214,212,Stone,6,3227,20080616170127.hk,t,2010-03-31 07:42:16.205079,t,t,t,t,f,f
215,213,Stone,6,3227,20080616170128.hk,t,2010-03-31 07:42:16.171642,t,t,t,t,f,f
216,214,Stone,6,3227,20080616170129.hk,t,2010-03-31 07:42:15.946008,t,t,t,t,f,f
217,215,Stone,6,3227,20080616170130.hk,t,2010-03-31 07:42:16.138326,t,t,t,t,f,f
218,216,Stone,6,3227,20080616170131.hk,t,2010-03-31 07:42:16.105071,t,t,t,t,f,f
219,217,Stone,6,3227,20080616170132.hk,t,2010-03-31 07:42:16.046738,t,t,t,t,f,f
220,218,Stone,6,3227,20080616170133.hk,t,2010-03-31 07:42:15.9105,t,t,t,t,f,f
221,219,Stone,6,3227,20080616170134.hk,t,2010-03-31 07:42:16.012589,t,t,t,t,f,f
222,220,Stone,6,3227,20080616170135.hk,t,2010-03-31 07:42:17.322719,t,t,t,t,f,f
223,221,Stone,6,3227,20080616170136.hk,t,2010-03-31 07:42:17.361765,t,t,t,t,f,f
224,222,Stone,6,3227,20080616170137.hk,t,2010-03-31 07:42:15.871426,t,t,t,t,f,f
225,223,Stone,6,3227,20080616170138.hk,t,2010-03-31 07:42:17.738116,t,t,t,t,f,f
226,224,Stone,6,3227,20080616170139.hk,t,2010-03-31 07:42:17.213933,t,t,t,t,f,f
227,225,Stone,6,3227,20080616170140.hk,t,2010-03-31 07:42:15.801961,t,t,t,t,f,f
228,226,Stone,6,3227,20080616170141.hk,t,2010-03-31 07:42:17.247831,t,t,t,t,f,f
229,227,Stone,6,3227,20080616170142.hk,t,2010-03-31 07:42:15.837954,t,t,t,t,f,f
230,228,Stone,6,3227,20080616170143.hk,t,2010-03-31 07:42:17.286758,t,t,t,t,f,f
231,229,Stone,6,3227,20080616170144.hk,t,2010-03-31 07:42:17.704532,t,t,t,t,f,f
232,230,Stone,6,3227,20080616170145.hk,t,2010-03-31 07:42:17.055142,t,t,t,t,f,f
