id,attachment_file_id,name,description,spot_x,spot_y,target_uid,radius_in_percent,stroke_color,stroke_width,fill_color,fill_opacity,with_cross,created_at,updated_at
1,10965,DR1,,63.6,58.6,test,,,,,,,2011-04-26 18:39:02.468756,2011-04-26 18:39:09.475556
2,31684,1,,84,40,20110422231456-856-648,,,,,,,2011-04-26 18:39:02.489394,2011-04-26 18:39:09.498335
3,31684,2,,71.5,52.2,20110422231807-606-376,,,,,,,2011-04-26 18:39:02.497693,2011-04-26 18:39:09.506545
4,31684,3,,56.9,61.1,20110422233347-346-039,,,,,,,2011-04-26 18:39:02.505986,2011-04-26 18:39:09.514968
5,31684,4,,48.3,82.5,20110422233359-931-805,,,,,,,2011-04-26 18:39:02.514433,2011-04-26 18:39:09.523277
6,31684,5,,59.8,42,20110422233423-965-932,,,,,,,2011-04-26 18:39:02.522734,2011-04-26 18:39:09.531551
8,31684,6,,58.3,26,20110422233437-928-238,,,,,,,2011-04-26 18:39:02.531033,2011-04-26 18:39:09.539971
9,31684,7,,38.3,23.2,20110426004638-300-576,,,,,,,2011-04-26 18:39:02.539424,2011-04-26 18:39:09.67332
10,31684,8,,21,10,20110426004739-555-893,,,,,,,2011-04-26 18:39:02.547741,2011-04-26 18:39:09.689947
11,31684,9,,9.8,46.7,20110426004847-281-452,,,,,,,2011-04-26 18:39:02.556033,2011-04-26 18:39:09.723296
12,31684,10,,39,48.5,20110426004947-112-138,,,,,,,2011-04-26 18:39:02.564397,2011-04-26 18:39:09.756553
13,32274,ol-sc-1,,43.8,29.5,20110425151938-991-948,7,blue,5,blue,0,f,2011-04-26 18:50:52.336452,2011-04-26 19:04:25.606769
14,32274,ref-ol-AY2,,62.7,29.9,20110425093522-739-463,7,red,5,red,0,f,2011-04-26 19:02:00.484769,2011-04-26 19:04:07.245311
15,32271,ol-sc-1,,66,15,20110425151658-166-646,7,blue,5,blue,0,f,2011-04-27 11:04:18.097103,2011-04-27 11:05:45.471449
16,32271,ref-ol-AY1,,64,32.3,20110422093648-407-714,7,red,5,blue,0,f,2011-04-27 11:06:25.639192,2011-04-27 11:06:50.75506
17,32292,#1,,52.4,23.4,20110427120728-423-964,0.5,blue,1,blue,0,f,2011-04-27 12:01:27.473206,2011-04-27 12:08:05.516225
18,32292,#2,,52.3,24.5,20110427121028-491-319,0.5,blue,1,blue,0,f,2011-04-27 12:02:31.261245,2011-04-27 12:11:38.926233
19,32292,#3,,52.3,25.5,20110427121510-490-329,0.5,blue,1,blue,0,f,2011-04-27 12:03:52.775,2011-04-27 12:15:50.530822
20,32292,#4,,52.3,26.6,20110427121717-886-211,0.5,blue,1,blue,0,f,2011-04-27 12:04:03.678483,2011-04-27 12:18:00.966824
21,32292,#5,,52.2,27.7,20110427121812-090-741,0.5,blue,1,blue,0,f,2011-04-27 12:04:13.802423,2011-04-27 12:18:58.187565
