id,name,stone_type,description,parent_id,place_id,box_id,physical_form_id,classification_id,quantity,quantity_unit,created_at,updated_at
31,Sphalerite TN-11,,,810,,,,,,,2008-05-03 23:27:04.110997,2008-11-20 17:05:13.185277
32,Chalcopyrite MK-3,,,809,,,,,,,2008-05-03 23:27:04.112498,2008-11-20 17:05:13.17943
33,Galena TN-06,,,827,,,,,,,2008-05-03 23:27:04.114085,2008-11-20 17:05:09.592951
34,Spalerite MK-1,,,826,,,,,,,2008-05-03 23:27:04.115576,2008-11-20 17:05:09.606671
35,Pyrite MK-2,,,825,,,,,,,2008-05-03 23:27:04.117065,2008-11-20 17:05:09.612023
36,Sphalerite TN-11,,,810,,,,,,,2008-05-03 23:27:04.518343,2008-11-20 17:05:09.581622
37,Chalcopyrite MK-3,,,809,,,,,,,2008-05-03 23:27:04.526446,2008-11-20 17:05:09.587051
38,Galena TN-06,,,827,,,,,,,2008-05-03 23:27:04.527902,2008-11-20 17:05:09.557381
39,Spalerite MK-1,,,826,,,,,,,2008-05-03 23:27:04.529439,2008-11-20 17:05:09.562803
40,Pyrite MK-2,,,825,,,,,,,2008-05-03 23:27:04.537761,2008-11-20 17:05:09.568342
41,Pyrrhotite,,,812,,,,,,,2008-05-03 23:27:04.551193,2008-11-20 17:05:13.260424
42,Pyrite-KK,,,814,,,,,,,2008-05-03 23:27:04.55266,2008-11-20 17:05:13.273546
43,Troilite,,,813,,,,,,,2008-05-03 23:27:04.559926,2008-11-20 17:05:13.26677
44,Pentlandite,,,816,,,,,,,2008-05-03 23:27:04.57058,2008-11-20 17:05:13.2938
52,020624-3,rock samples,,,3,,1,,,,2008-06-19 09:31:18.844147,2011-01-05 14:39:49.575274
53,020625-1,rock samples,,,4,,1,,,,2008-06-19 09:31:18.85325,2011-01-05 14:39:49.600535
54,SP2A,rock samples,,,5,,1,,,,2008-06-19 09:31:18.862719,2011-01-05 14:39:49.61816
55,SP4,rock samples,,,6,,1,,,,2008-06-19 09:31:18.871971,2011-01-05 14:39:49.633992
56,MH1,rock samples,,,7,,1,,,,2008-06-19 09:31:18.880948,2011-01-05 14:39:49.649865
57,MH2,rock samples,,,8,,1,,,,2008-06-19 09:31:18.89042,2011-01-05 14:39:49.669006
58,MH3,rock samples,,,9,,1,,,,2008-06-19 09:31:18.899631,2011-01-05 14:39:49.68376
59,MH5,rock samples,,,10,,1,,,,2008-06-19 09:31:18.908767,2011-01-05 14:39:49.704157
60,MH8,rock samples,,,11,,1,,,,2008-06-19 09:31:18.918207,2011-01-05 14:39:49.716468
61,MH9,rock samples,,,12,,1,,,,2008-06-19 09:31:18.927583,2011-01-05 14:39:49.734797
